url,status
https://kostroma.smsint.ru/assets/images/9af22e6023.php,Failed (Status code: 404)
http://files.ipsc63.ru/assets/images/44d4dd541f.php,Failed (Status code: 404)
https://perm.smsint.ru/assets/images/1f2035d348.php,Failed (Status code: 404)
http://2021.ircforum.ru/assets/images/22d69d1543.php,Failed (Status code: 404)
https://ilikesport.info/170a533361.php,Failed (Status code: 403)
http://kanat.orwotest.ru/7c98217071.php,Failed (Status code: 404)
http://imperial09.ru/assets/images/faf6fae194.php,Success
https://xn----8sbnlmcpdcf2b0dvc.xn--80adxhks/bitrix/admin/65c8414298.php,Success
https://razdevalkaclub.ru:443/assets/images/fe7d7071da.php,Failed (Status code: 404)
https://tula.smsint.ru/assets/images/978ba02fad.php,Failed (Status code: 404)
https://astrakhan.smsint.ru/assets/images/1f37509a05.php,Failed (Status code: 404)
https://mmk-penza.ru:443/cac69b620f.php,Success
http://files.strelok63.ru/assets/images/ef26d6dfd5.php,Failed (Status code: 404)
https://normet.pro/077b032c12.php,Failed (Status code: 404)
https://www.astra-h.ru/assets/images/84d00a9c13.php,Failed (Status code: 404)
https://silvialeonfotografia.es/wp-content/uploads/wpr-addons/forms/48e1f6f90d.php,Success
https://lapomed.ua/fb85cc2d45.php,Failed (Status code: 403)
http://club-mamfood.ru/assets/images/9137fd8ad5.php,Failed (Status code: 404)
https://yadrinspirt.ru:443/assets/images/f8e4dfa131.php,Failed (Status code: 404)
https://www.mostobacco.ru/bitrix/admin/7c3a248f91.php,Success
http://2022.ircforum.ru/assets/images/910ba2e453.php,Failed (Status code: 404)
https://2017.ircforum.ru/assets/images/94e3a3dc1f.php,Failed (Status code: 404)
http://academy.elabsolution.org/assets/images/150f2bf4f4.php,Failed (Status code: 406)
http://lenina.picom.su/assets/images/88dfbefd45.php,Failed (Status code: 403)
https://syktyvkar.smsint.ru/assets/images/f0bbabeef8.php,Failed (Status code: 404)
http://srv166426.hoster-test.ru/assets/images/ec198184c2.php,Failed (Status code: 403)
https://espacoviponline.com.br/415d395762.php,Failed (Status code: 406)
http://2023.ircforum.ru/assets/images/22ed6177fa.php,Failed (Status code: 404)
http://dev.smsint.ru/assets/images/ebe11da24a.php,Failed (Status code: 404)
https://vseti.market/ccb57c5c16.php,Success
http://project.bx.hmns.ru/assets/images/eb89bacc0b.php,Failed (Status code: 404)
https://spb.smsint.ru/assets/images/85fa1104ea.php,Failed (Status code: 404)
https://premium.nextype-demo.ru/assets/images/54c2a6969f.php,Error: HTTPSConnectionPool(host='premium.nextype-demo.ru', port=443): Max retries exceeded with url: /assets/images/54c2a6969f.php (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)')))
https://rheinischer-verein.de/wp-content/uploads/wpr-addons/forms/4e11093764.php,Error: HTTPSConnectionPool(host='rheinischer-verein.de', port=443): Max retries exceeded with url: /wp-content/uploads/wpr-addons/forms/4e11093764.php (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))
https://www.mostobacco.ru/assets/images/7c3a248f91.php,Success
https://silvialeonfotografia.es/assets/images/48e1f6f90d.php,Failed (Status code: 404)
https://rmkandco.com/87a9ebfd74.php,Failed (Status code: 406)
http://emarket2.webkrayt.ru/assets/images/d83dfda2b5.php,Error: HTTPConnectionPool(host='emarket2.webkrayt.ru', port=80): Max retries exceeded with url: /assets/images/d83dfda2b5.php (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7fe3386829d0>: Failed to resolve 'emarket2.webkrayt.ru' ([Errno 8] nodename nor servname provided, or not known)"))
https://smolensk.smsint.ru/assets/images/990ed8962e.php,Failed (Status code: 404)
http://smcriacaodigital.com.br/assets/images/3c66fad387.php,Failed (Status code: 406)
https://smsint.ru:443/bitrix/admin/9d84c51a2a.php,Success
http://syntimenutrition.ru/1dace89261.php,Failed (Status code: 404)
https://baimer.store:443/bitrix/admin/a42f7399e9.php,Failed (Status code: 403)
https://skladokna.ru:443/assets/images/27fd0b471a.php,Failed (Status code: 404)
https://tomsk.smsint.ru/assets/images/54130570db.php,Failed (Status code: 404)
http://test.enterno.ru/assets/images/a3e733a196.php,Failed (Status code: 403)
http://diski-optom.com.ua/c51e564339.php,Failed (Status code: 403)
https://samara.smsint.ru:443/bitrix/admin/ddb98b5d65.php,Success
http://mkb.hmns.ru/assets/images/979e4e1a7b.php,Failed (Status code: 404)
http://arssalus37.ru/bitrix/admin/6415c357d2.php,Success
http://2019.ircforum.ru/assets/images/d3fafbd39f.php,Failed (Status code: 404)
https://drtoledospamedica.com/image/background-image-cropper/2c42f1a45e.php,Failed (Status code: 406)
https://creation.seoven.ru/bitrix/admin/23c8f8ebfd.php,Success
http://kk-zavod.orwotest.ru/assets/images/2c86d158df.php,Failed (Status code: 404)
https://orenburg.smsint.ru:443/bitrix/admin/a421aaccd0.php,Success
http://atelierlindalele.com/assets/images/4b070399a9.php,Failed (Status code: 406)
https://lipetsk.smsint.ru/assets/images/c21402d5fd.php,Failed (Status code: 404)
https://kaluga.smsint.ru/assets/images/c4f305a247.php,Failed (Status code: 404)
https://liftorg.ru/bitrix/admin/dc3d30e1db.php,Success
https://pugteam.ru:443/assets/images/763a7c3150.php,Error: HTTPSConnectionPool(host='pugteam.ru', port=443): Max retries exceeded with url: /assets/images/763a7c3150.php (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)')))
https://vipsuitehotel.com/wp-content/plugins/wp-automatic/5d69384cfc.php,Failed (Status code: 403)
https://blagoveshchensk.smsint.ru:443/bitrix/admin/893b45b9fd.php,Success
https://colonnedefeu.com/194e82a5b9.php,Failed (Status code: 403)
http://vks-mos.ru/assets/images/cb86d27b27.php,Failed (Status code: 404)
https://mmarket.nextype-demo.ru/1659d45724.php,Error: HTTPSConnectionPool(host='mmarket.nextype-demo.ru', port=443): Max retries exceeded with url: /1659d45724.php (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)')))
http://aispacesolutions.com/wp-content/plugins/wp-automatic/8c38cd49c2.php,Failed (Status code: 404)
https://skillheadlines.in/assets/images/3b90f8a2ad.php,Failed (Status code: 404)
https://blagoveshchensk.smsint.ru/assets/images/f9622b3cf7.php,Failed (Status code: 404)
https://www.gutzeit-metallbau.de/ccbc56465d.php,Failed (Status code: 404)
https://anadyr.smsint.ru/assets/images/ea5133ec16.php,Failed (Status code: 404)
http://novosib-tent.ru/assets/images/f56a65e5b4.php,Failed (Status code: 404)
http://fok-triumf.ru/assets/images/8795e028fa.php,Failed (Status code: 403)
https://www.teste1.smcriacaodigital.com.br/44185c3273.php,Failed (Status code: 406)
